Coordenadas,Tipo Transporte,Coordenadas de Accidente,Tipo Accidente,Tiempo,Costo,Descripcion Accidente
"(19.344930902324073, -99.20228747993725)",CAMION,Ninguna,Ninguno,06:48,$0.00,
"(19.342187518681488, -99.20252351434395)",CAMION,Ninguna,Ninguno,06:50,$0.00,
"(19.34201613014302, -99.20249962048533)",CAMION,Ninguna,Ninguno,07:01,$0.00,
"(19.34021164505855, -99.2029180450737)",CAMION,Ninguna,Ninguno,07:09,$0.00,
"(19.337934766819334, -99.20437344357785)",CAMION,Ninguna,Ninguno,07:19,$0.00,
"(19.336180854842418, -99.20647227215339)",CAMION,Ninguna,Ninguno,07:25,$0.00,
"(19.3352317604146, -99.2076108698727)",CAMION,Ninguna,Ninguno,07:27,$0.00,
"(19.33500144600713, -99.20782142326108)",CAMION,Ninguna,Ninguno,07:29,$0.00,
"(19.33342720033877, -99.20911223637025)",CAMION,Ninguna,Ninguno,07:33,$0.00,
"(19.33269322209122, -99.20953267264608)",CAMION,Ninguna,Ninguno,07:35,$0.00,
"(19.332388873244348, -99.20965471316245)",CAMION,Ninguna,Ninguno,07:38,$0.00,
"(19.331149326043793, -99.2102427874904)",CAMION,"(19.33148974371484, -99.21008185496423)",Obstruccion vehicular,07:53,$0.00,Varios vehiculos intentan pasar y solo obstruyen el paso al no poder cruzar
"(19.33027613247372, -99.2106478010615)",CAMION,Ninguna,Ninguno,07:57,$0.00,
"(19.327091571869055, -99.21232442303811)",CAMION,Ninguna,Ninguno,08:00,$0.00,
"(19.32622508343608, -99.21301612173058)",CAMION,Ninguna,Ninguno,08:01,$0.00,
"(19.326059298572265, -99.21324947389351)",CAMION,Ninguna,Ninguno,08:02,$0.00,
"(19.325411976660106, -99.21393678994396)",CAMION,Ninguna,Ninguno,08:04,$0.00,
"(19.325317693974245, -99.21400920959783)",CAMION,Ninguna,Ninguno,08:05,$0.00,
"(19.32230016113968, -99.21842380588275)",CAMION,Ninguna,Ninguno,08:14,$0.00,
"(19.322105897088434, -99.21865581696463)",CAMION,Ninguna,Ninguno,08:16,$0.00,
"(19.321231618590815, -99.2199785883933)",CAMION,Ninguna,Ninguno,08:21,$0.00,
"(19.32117973015242, -99.21994506078325)",CAMION,Ninguna,Ninguno,08:22,$0.00,
"(19.320905733635264, -99.22039433078902)",CAMION,Ninguna,Ninguno,08:28,$0.00,
"(19.320676664598615, -99.22063572960583)",CAMION,Ninguna,Ninguno,08:30,$0.00,
"(19.320231181355553, -99.22094753642278)",CAMION,Ninguna,Ninguno,08:33,$0.00,
"(19.319784431320397, -99.22115339595442)",CAMION,Ninguna,Ninguno,08:35,$0.00,
"(19.31911296930071, -99.22128863310168)",CAMION,Ninguna,Ninguno,08:35,$0.00,
"(19.31835504008246, -99.22121825453742)",CAMION,Ninguna,Ninguno,08:36,$0.00,
"(19.317229039653377, -99.22103319376414)",CAMION,Ninguna,Ninguno,08:38,$0.00,
"(19.313629503424714, -99.22028543396061)",CAMION,Ninguna,Ninguno,08:41,$0.00,
"(19.31343712751285, -99.2203015272226)",CAMION,Ninguna,Ninguno,08:41,$0.00,
"(19.3094559258734, -99.21769679892617)",CAMION,Ninguna,Ninguno,08:45,$0.00,
"(19.309417955985968, -99.21761365042397)",CAMION,Ninguna,Ninguno,08:46,$0.00,
"(19.30727441285394, -99.2131187665574)",CAMION,Ninguna,Ninguno,08:48,$0.00,
"(19.305280788969025, -99.20261639218555)",CAMION,Ninguna,Ninguno,08:53,$0.00,
"(19.304386438454802, -99.2001137557908)",CAMION,Ninguna,Ninguno,08:54,$0.00,
"(19.30267904027917, -99.19689002530595)",CAMION,Ninguna,Ninguno,08:57,$0.00,
"(19.302230982384092, -99.19456488118135)",CAMION,Ninguna,Ninguno,08:59,$0.00,
"(19.30282073009625, -99.18805847564981)",CAMION,Ninguna,Ninguno,09:00,$0.00,
"(19.302860600078045, -99.18796392779069)",CAMION,Ninguna,Ninguno,09:02,$0.00,
"(19.303617394858378, -99.1808100062752)",CAMION,Ninguna,Ninguno,09:05,$0.00,
"(19.30342500717513, -99.17639509064078)",CAMION,Ninguna,Ninguno,09:06,$0.00,
"(19.303430070019527, -99.17612686951733)",CAMION,Ninguna,Ninguno,09:06,$0.00,
"(19.301411185306165, -99.16191218698734)",CAMION,Ninguna,Ninguno,09:11,$0.00,
"(19.30099096414349, -99.16068909978847)",CAMION,Ninguna,Ninguno,09:12,$0.00,
"(19.30013026678882, -99.15924607102463)",CAMION,Ninguna,Ninguno,09:12,$0.00,
"(19.29589383263844, -99.15570443021623)",CAMION,Ninguna,Ninguno,09:15,$0.00,
"(19.297000842692533, -99.15646346398496)",CAMINAR,Ninguna,Ninguno,09:17,$0.00,
"(19.297048941523155, -99.15617110322911)",CAMINAR - PARADA BUS,Ninguna,Ninguno,09:17,$0.00,
"(19.296950212361562, -99.15650101495115)",CAMION,Ninguna,Ninguno,09:19,$7.50,
"(19.301002097518097, -99.16063664514962)",CAMION,Ninguna,Ninguno,09:19,$0.00,
"(19.301602051493493, -99.16107920963194)",CAMION,Ninguna,Ninguno,09:21,$0.00,
"(19.302356420835842, -99.16105238754426)",CAMION,Ninguna,Ninguno,09:22,$0.00,
"(19.303293049070998, -99.15994463532249)",CAMION,Ninguna,Ninguno,09:23,$0.00,
"(19.303300643332058, -99.15931431626169)",CAMION,Ninguna,Ninguno,09:24,$0.00,
"(19.303158883733953, -99.1589173493638)",CAMION,Ninguna,Ninguno,09:24,$0.00,
"(19.302303260694107, -99.15807245360145)",CAMION,Ninguna,Ninguno,09:25,$0.00,
"(19.302426035280362, -99.15795309530175)",CAMION,Ninguna,Ninguno,09:25,$0.00,
"(19.30344493423495, -99.15911449172769)",CAMION,Ninguna,Ninguno,09:26,$0.00,
"(19.305218183021804, -99.16087133857266)",CAMION - BAJADA,Ninguna,Ninguno,09:26,$0.00,
"(19.30802244472683, -99.16095950154214)",CAMINAR,Ninguna,Ninguno,09:31,$0.00,
"(19.308136355312083, -99.16100845185215)",CAMINAR,Ninguna,Ninguno,09:31,$0.00,
"(19.308984998499277, -99.16070270614281)",CAMINAR,Ninguna,Ninguno,09:32,$0.00,
"(19.308830587154848, -99.16017028770207)",CAMINAR,Ninguna,Ninguno,09:33,$0.00,
"(19.3089908542213, -99.16002743386771)",CAMINAR,Ninguna,Ninguno,09:33,$0.00,
"(19.308978830392764, -99.15990807557746)",CAMINAR,Ninguna,Ninguno,09:34,$0.00,
